epoch,accuracy,auc,f1_score,loss,precision_1,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.899926126,0.956686318,0.660400689,0.271827191,0.892909884,0.905617952,0.948019803,0.99121213,0.660033166,0.147023126,0.954081655,0.939698517
1,0.934638083,0.978035688,0.660400689,0.185905814,0.925110161,0.943820238,0.960396051,0.992119133,0.660033166,0.132138208,0.942028999,0.979899526
2,0.946454942,0.982147694,0.660400689,0.163919538,0.935578346,0.957303345,0.960396051,0.992535889,0.660033166,0.123161294,0.959798992,0.959798992
3,0.946824253,0.984479249,0.660400689,0.154854059,0.939483404,0.953558028,0.95792079,0.993258953,0.660033166,0.117437281,0.9375,0.979899526
4,0.944608569,0.984881997,0.660400689,0.151297718,0.936624885,0.952059925,0.960396051,0.989202023,0.660033166,0.130861431,0.969230771,0.949748755
5,0.948670626,0.985491991,0.660400689,0.145835996,0.939705908,0.957303345,0.965346515,0.994104683,0.660033166,0.112504981,0.969543159,0.959798992
6,0.956056118,0.987475038,0.660400689,0.132412195,0.947058797,0.96479398,0.967821777,0.995366991,0.660033166,0.096736401,0.974489808,0.959798992
7,0.956425428,0.985693276,0.660400689,0.139416531,0.948415637,0.964044929,0.95792079,0.994288564,0.660033166,0.118175551,0.933333337,0.984924614
8,0.953101933,0.986980855,0.660400689,0.139341205,0.946085691,0.95955056,0.962871313,0.994104803,0.660033166,0.104388803,0.964646459,0.959798992
9,0.953471184,0.98683399,0.660400689,0.139355734,0.942857146,0.964044929,0.952970326,0.992523611,0.660033166,0.126233891,0.96875,0.934673369
10,0.95753324,0.987217069,0.660400689,0.134740815,0.949852526,0.96479398,0.950495064,0.995305777,0.660033166,0.118022025,0.983783782,0.914572835
11,0.955686867,0.989845693,0.660400689,0.126340181,0.947019875,0.964044929,0.977722764,0.995698035,0.660033166,0.086261317,0.975000024,0.979899526
12,0.954209745,0.988897204,0.660400689,0.128849611,0.946204841,0.961797774,0.962871313,0.991898477,0.660033166,0.107090235,0.964646459,0.959798992
13,0.956425428,0.98757273,0.660400689,0.132529825,0.947097719,0.965543091,0.970297039,0.993835032,0.660033166,0.111232333,0.984455943,0.954773843
14,0.960487425,0.990132749,0.660400689,0.1182594,0.953471184,0.967041194,0.970297039,0.995857298,0.660033166,0.088327892,0.956097543,0.984924614
15,0.95716393,0.988769352,0.660400689,0.126338527,0.949152529,0.96479398,0.960396051,0.989716828,0.660033166,0.124155253,0.955223858,0.96482414
16,0.954209745,0.987961173,0.660400689,0.133357868,0.945548177,0.962546825,0.960396051,0.992928088,0.660033166,0.110643908,0.937799037,0.984924614
17,0.960118175,0.989025056,0.660400689,0.122737177,0.949450552,0.970786512,0.952970326,0.994276345,0.660033166,0.105240077,0.936893225,0.969849229
18,0.955317557,0.988532722,0.660400689,0.127363503,0.947640121,0.962546825,0.95792079,0.996641755,0.660033166,0.088667423,0.941747546,0.974874377
19,0.95716393,0.988387525,0.660400689,0.126621142,0.951147318,0.962546825,0.965346515,0.993209839,0.660033166,0.101348899,0.969543159,0.959798992
20,0.956794679,0.988484204,0.660400689,0.127526224,0.947794139,0.965543091,0.967821777,0.994031191,0.660033166,0.0969541,0.960396051,0.974874377
21,0.959379613,0.99177283,0.660400689,0.112617806,0.952697694,0.965543091,0.960396051,0.993393898,0.660033166,0.124429323,0.92957747,0.994974852
22,0.964180231,0.991469562,0.660400689,0.109947681,0.951824844,0.976779044,0.960396051,0.993344784,0.660033166,0.105812706,0.964466989,0.954773843
23,0.960118175,0.99114573,0.660400689,0.111581944,0.950110078,0.97003746,0.960396051,0.993810534,0.660033166,0.092929728,0.964466989,0.954773843
24,0.964918733,0.990598023,0.660400689,0.113127448,0.956553757,0.973033726,0.960396051,0.995428324,0.660033166,0.091175988,0.964466989,0.954773843
25,0.962333798,0.99232465,0.660400689,0.107232422,0.951648355,0.973033726,0.965346515,0.992854536,0.660033166,0.106471486,0.955665052,0.974874377
26,0.964549482,0.993045032,0.660400689,0.103649959,0.959229052,0.969288409,0.9727723,0.992584884,0.660033166,0.098078057,0.979591846,0.96482414
27,0.963810921,0.99181515,0.660400689,0.109295547,0.957809031,0.969288409,0.965346515,0.994202673,0.660033166,0.098267354,0.960198998,0.969849229
28,0.966765165,0.991119266,0.660400689,0.111619279,0.958732486,0.974531829,0.960396051,0.99233979,0.660033166,0.109181404,0.955223858,0.96482414
29,0.965288043,0.991060019,0.660400689,0.110023633,0.960653305,0.969288409,0.970297039,0.99432528,0.660033166,0.093875907,0.965174139,0.974874377
30,0.963810921,0.991352797,0.660400689,0.10757228,0.958487749,0.968539298,0.95792079,0.990991533,0.660033166,0.124354482,0.941747546,0.974874377
31,0.965288043,0.991481543,0.660400689,0.109267041,0.959289432,0.970786512,0.962871313,0.99177587,0.660033166,0.111049093,0.955445528,0.969849229
32,0.966026604,0.992433846,0.660400689,0.103556029,0.957995594,0.973782778,0.965346515,0.995268881,0.660033166,0.089407861,0.969543159,0.959798992
33,0.960118175,0.991193175,0.660400689,0.111524902,0.952767551,0.967041194,0.965346515,0.993969738,0.660033166,0.100520879,0.96482414,0.96482414
34,0.959379613,0.991914988,0.660400689,0.108248025,0.948061466,0.970786512,0.967821777,0.995943069,0.660033166,0.088012628,0.960396051,0.974874377
35,0.964918733,0.992156029,0.660400689,0.103697151,0.959259272,0.97003746,0.9727723,0.994925797,0.660033166,0.088395007,0.974747479,0.969849229
36,0.964918733,0.991868794,0.660400689,0.107324734,0.95588237,0.973782778,0.960396051,0.994067967,0.660033166,0.100137606,0.955223858,0.96482414
37,0.960118175,0.991573989,0.660400689,0.110452242,0.955456555,0.964044929,0.952970326,0.991322458,0.660033166,0.121157654,0.949999988,0.954773843
38,0.960118175,0.993096113,0.660400689,0.103231497,0.953436792,0.966292143,0.967821777,0.992266238,0.660033166,0.106006056,0.960396051,0.974874377
39,0.962333798,0.992415845,0.660400689,0.107623689,0.955654085,0.968539298,0.960396051,0.994337499,0.660033166,0.101677217,0.969230771,0.949748755
40,0.966026604,0.992683649,0.660400689,0.103834957,0.956649542,0.975280881,0.9727723,0.9922539,0.660033166,0.098949268,0.965346515,0.979899526
41,0.968242228,0.991470039,0.660400689,0.108324811,0.962250173,0.973782778,0.967821777,0.99177599,0.660033166,0.111673333,0.969696999,0.96482414
42,0.966395855,0.991808176,0.660400689,0.108466245,0.960059166,0.972284615,0.9727723,0.995220125,0.660033166,0.089620568,0.970000029,0.974874377
43,0.96344167,0.992093742,0.660400689,0.106503516,0.956425428,0.97003746,0.9727723,0.995011747,0.660033166,0.088023588,0.974747479,0.969849229
44,0.964180231,0.991436601,0.660400689,0.105416097,0.959881127,0.967790246,0.967821777,0.993148685,0.660033166,0.099840425,0.969696999,0.96482414
45,0.967134416,0.991144955,0.660400689,0.109312773,0.959439516,0.974531829,0.975247502,0.995477438,0.660033166,0.089388005,0.979695439,0.969849229
46,0.965288043,0.994502544,0.660400689,0.093953177,0.957258642,0.973033726,0.975247502,0.996825635,0.660033166,0.075993337,0.974874377,0.974874377
47,0.967872977,0.992455959,0.660400689,0.100962631,0.961538434,0.973782778,0.980198026,0.996617198,0.660033166,0.081037141,0.979899526,0.979899526
48,0.963810921,0.991773129,0.660400689,0.107376732,0.955784798,0.971535563,0.962871313,0.995403767,0.660033166,0.09354683,0.964646459,0.959798992
49,0.965657294,0.993706226,0.660400689,0.099519908,0.957290113,0.973782778,0.950495064,0.991641164,0.660033166,0.11110606,0.949748755,0.949748755
50,0.959010363,0.991772592,0.660400689,0.110598072,0.948023438,0.97003746,0.962871313,0.992302895,0.660033166,0.110397086,0.964646459,0.959798992
51,0.960856736,0.990955353,0.660400689,0.112767339,0.951506257,0.97003746,0.965346515,0.995330334,0.660033166,0.090676136,0.96482414,0.96482414
52,0.961225986,0.990843117,0.660400689,0.110429578,0.953539848,0.968539298,0.967821777,0.994558215,0.660033166,0.098573402,0.969696999,0.96482414
53,0.966395855,0.992326319,0.660400689,0.103448436,0.959379613,0.973033726,0.9727723,0.996776581,0.660033166,0.079933845,0.974747479,0.969849229
54,0.962703109,0.992763996,0.660400689,0.104894765,0.955014765,0.97003746,0.967821777,0.994165957,0.660033166,0.096461721,0.960396051,0.974874377
55,0.964180231,0.992900729,0.660400689,0.101731956,0.957840264,0.97003746,0.9727723,0.995538652,0.660033166,0.089742303,0.974747479,0.969849229
56,0.964549482,0.992291689,0.660400689,0.105129391,0.959910929,0.968539298,0.975247502,0.993454993,0.660033166,0.096973106,0.970149279,0.979899526
57,0.961225986,0.992348611,0.660400689,0.105994403,0.953539848,0.968539298,0.940594077,0.991077244,0.660033166,0.128562063,0.922705293,0.959798992
58,0.962703109,0.989794016,0.660400689,0.118811481,0.953010261,0.972284615,0.965346515,0.996555924,0.660033166,0.084403753,0.960198998,0.969849229
59,0.964549482,0.991863489,0.660400689,0.107130721,0.957871377,0.970786512,0.962871313,0.995673418,0.660033166,0.089958183,0.955445528,0.969849229
60,0.964918733,0.991921186,0.660400689,0.104803957,0.957902491,0.971535563,0.962871313,0.992180407,0.660033166,0.10595908,0.955445528,0.969849229
61,0.962333798,0.99145937,0.660400689,0.112172924,0.95632863,0.967790246,0.965346515,0.996519148,0.660033166,0.082234934,0.96482414,0.96482414
62,0.96344167,0.991600931,0.660400689,0.108007081,0.953744471,0.973033726,0.962871313,0.993467331,0.660033166,0.100528851,0.959999979,0.96482414
63,0.967872977,0.991813421,0.660400689,0.102910772,0.958149791,0.977528095,0.965346515,0.995440662,0.660033166,0.093423285,0.969543159,0.959798992
64,0.961964548,0.991887927,0.660400689,0.10655126,0.956973314,0.966292143,0.965346515,0.99177587,0.660033166,0.108407125,0.969543159,0.959798992
65,0.962333798,0.99080193,0.660400689,0.113994919,0.952311099,0.972284615,0.960396051,0.99271965,0.660033166,0.108761869,0.959798992,0.959798992
66,0.967872977,0.992440939,0.660400689,0.102565683,0.963595867,0.971535563,0.967821777,0.994165957,0.660033166,0.098284155,0.960396051,0.974874377
67,0.965288043,0.992362559,0.660400689,0.103975803,0.956585705,0.973782778,0.967821777,0.989422679,0.660033166,0.102862537,0.964999974,0.969849229
68,0.960487425,0.99270469,0.660400689,0.104401775,0.950807631,0.97003746,0.95792079,0.993258953,0.660033166,0.106554769,0.964285731,0.949748755
69,0.966026604,0.992544532,0.660400689,0.102081716,0.960711658,0.970786512,0.960396051,0.994570494,0.660033166,0.098180383,0.964466989,0.954773843
70,0.96344167,0.9927665,0.660400689,0.104984626,0.956425428,0.97003746,0.970297039,0.991653204,0.660033166,0.104171373,0.969849229,0.969849229
71,0.964180231,0.991358221,0.660400689,0.109676674,0.958518505,0.969288409,0.965346515,0.995832801,0.660033166,0.089126907,0.96482414,0.96482414
72,0.963810921,0.991759181,0.660400689,0.108893096,0.956457555,0.970786512,0.960396051,0.994742155,0.660033166,0.098739125,0.950738907,0.969849229
73,0.961225986,0.991132021,0.660400689,0.111030973,0.952205896,0.97003746,0.960396051,0.992927969,0.660033166,0.107595399,0.950738907,0.969849229
74,0.964918733,0.992364526,0.660400689,0.104493268,0.955212951,0.974531829,0.967821777,0.995599926,0.660033166,0.091148742,0.960396051,0.974874377
75,0.96307236,0.991725087,0.660400689,0.10773547,0.955719531,0.97003746,0.95792079,0.992401063,0.660033166,0.115460068,0.964285731,0.949748755
76,0.968980789,0.993280292,0.660400689,0.098303765,0.962305963,0.975280881,0.967821777,0.993626714,0.660033166,0.10251911,0.979381442,0.954773843
77,0.962333798,0.993156075,0.660400689,0.103205301,0.957683742,0.966292143,0.955445528,0.993884087,0.660033166,0.107469052,0.945812821,0.96482414
78,0.965288043,0.992184699,0.660400689,0.10628245,0.956585705,0.973782778,0.967821777,0.995097518,0.660033166,0.085058376,0.960396051,0.974874377
79,0.968242228,0.991574228,0.660400689,0.102640092,0.963622868,0.972284615,0.960396051,0.993871748,0.660033166,0.102267414,0.955223858,0.96482414
80,0.966026604,0.992997468,0.660400689,0.102751724,0.956649542,0.975280881,0.960396051,0.993308008,0.660033166,0.101887628,0.959798992,0.959798992
81,0.965288043,0.992479444,0.660400689,0.10426724,0.961338282,0.968539298,0.970297039,0.995477378,0.660033166,0.090262875,0.965174139,0.974874377
82,0.96971935,0.992282391,0.660400689,0.100728892,0.963730574,0.975280881,0.962871313,0.994006693,0.660033166,0.099544421,0.96938777,0.954773843
83,0.965288043,0.99339664,0.660400689,0.099591278,0.956585705,0.973782778,0.960396051,0.990709603,0.660033166,0.117970988,0.950738907,0.969849229
84,0.961595297,0.992895603,0.660400689,0.104820929,0.953574061,0.969288409,0.962871313,0.993050575,0.660033166,0.106122933,0.964646459,0.959798992
85,0.964918733,0.992500961,0.660400689,0.106041662,0.963378191,0.965543091,0.960396051,0.994717538,0.660033166,0.095521294,0.955223858,0.96482414
86,0.963810921,0.993044496,0.660400689,0.104202799,0.955784798,0.971535563,0.9727723,0.995710194,0.660033166,0.087372012,0.970000029,0.974874377
87,0.96307236,0.99390769,0.660400689,0.098694682,0.955719531,0.97003746,0.962871313,0.99356544,0.660033166,0.093768395,0.959999979,0.96482414
88,0.964180231,0.993295491,0.660400689,0.100491241,0.959198833,0.968539298,0.95792079,0.99243778,0.660033166,0.105586663,0.950495064,0.96482414
89,0.961964548,0.992454231,0.660400689,0.10744749,0.952941179,0.970786512,0.965346515,0.994938135,0.660033166,0.090988465,0.960198998,0.969849229
90,0.965657294,0.991648912,0.660400689,0.107767731,0.957964599,0.973033726,0.955445528,0.991763711,0.660033166,0.109605551,0.941463411,0.969849229
91,0.965657294,0.991452038,0.660400689,0.110368408,0.959999979,0.970786512,0.962871313,0.994227231,0.660033166,0.098388508,0.959999979,0.96482414
92,0.962703109,0.99144417,0.660400689,0.108878568,0.953010261,0.972284615,0.962871313,0.993920743,0.660033166,0.101873092,0.96938777,0.954773843
93,0.964180231,0.993119359,0.660400689,0.100700684,0.956489682,0.971535563,0.960396051,0.995649099,0.660033166,0.08718767,0.959798992,0.959798992
94,0.963810921,0.991639137,0.660400689,0.108892873,0.958487749,0.968539298,0.965346515,0.991935194,0.660033166,0.10806644,0.96482414,0.96482414
95,0.962703109,0.991795242,0.660400689,0.107732706,0.955686867,0.969288409,0.967821777,0.995170951,0.660033166,0.090978861,0.960396051,0.974874377
96,0.967503667,0.992423117,0.660400689,0.100880057,0.961510003,0.973033726,0.967821777,0.995747089,0.660033166,0.089732803,0.960396051,0.974874377
97,0.965288043,0.993102491,0.660400689,0.10191904,0.956585705,0.973782778,0.955445528,0.993638992,0.660033166,0.106604323,0.950248778,0.959798992
98,0.966765165,0.99268806,0.660400689,0.101831183,0.958057404,0.975280881,0.970297039,0.996555924,0.660033166,0.080598712,0.969849229,0.969849229
99,0.966765165,0.993053555,0.660400689,0.096747719,0.95671314,0.976779044,0.962871313,0.995501816,0.660033166,0.09101665,0.96938777,0.954773843
